calories,protein,total_fat,carbohydrate,fiber,sugars,Cluster
139,16.3,6.2,3.34,0.1,3.34,3
46,0.46,0.1,11.97,3.6,4.27,0
401,6.0,24.0,40.95,3.8,3.46,2
669,33.63,59.0,0.66,0.0,0.23,4
368,14.12,6.1,64.16,7.0,0.0,2
141,22.81,4.9,0.0,0.0,0.0,3
25,0.6,0.3,5.7,0.0,0.0,0
373,24.48,30.0,0.68,0.0,0.5,3
105,18.88,2.7,0.0,0.0,0.0,3
404,22.87,33.0,3.09,0.0,0.48,3
376,25.18,29.0,3.06,0.0,0.0,3
884,0.0,100.0,0.0,0.0,0.0,4
236,10.4,4.4,39.8,4.5,7.7,2
30,0.61,0.2,7.55,0.4,6.2,0
268,6.08,15.0,27.81,3.3,1.79,2
172,7.89,13.0,5.9,0.7,1.85,0
309,11.69,30.0,5.31,2.6,0.0,3
131,3.31,5.9,20.7,14.1,0.0,0
290,0.0,0.0,74.9,0.0,74.9,5
325,15.91,2.2,68.63,23.8,2.31,1
884,0.0,100.0,0.0,0.0,0.0,4
407,11.9,6.6,73.5,5.1,0.0,2
47,1.5,0.3,16.0,10.6,4.17,0
282,14.14,13.0,53.99,34.9,10.34,1
44,1.06,0.3,10.55,1.7,7.89,0
43,1.44,0.4,9.8,1.7,8.1,0
74,2.6,0.1,17.23,4.9,0.0,0
172,0.82,0.6,40.77,0.9,33.24,5
123,18.51,4.9,0.0,0.0,0.0,3
76,0.4,0.3,19.95,0.0,0.0,0
103,1.07,0.2,27.12,4.9,11.0,0
357,0.3,0.1,88.15,3.4,0.0,2
23,1.1,0.3,5.1,1.9,2.71,0
32,0.96,1.0,5.84,1.9,3.93,0
296,2.52,0.5,78.47,6.8,0.0,2
209,11.42,16.0,4.68,0.5,2.9,3
288,0.06,0.1,12.65,0.0,12.65,0
127,17.83,5.6,0.0,0.0,0.0,3
198,7.49,1.3,42.53,1.1,0.0,0
87,18.99,0.7,0.0,0.0,0.0,3
11,2.3,0.1,1.29,0.5,0.2,0
87,18.99,0.6,0.0,0.0,0.0,3
253,7.05,5.3,44.38,3.5,14.11,2
310,11.43,5.9,65.37,3.9,0.0,2
25,0.42,0.1,8.42,0.4,1.69,0
338,14.57,2.4,70.19,10.7,6.82,2
15,1.1,0.5,2.4,1.6,1.06,0
534,18.29,42.0,28.88,27.3,1.55,1
413,29.81,32.0,0.36,0.0,0.36,3
466,9.65,30.0,42.65,0.0,0.0,2
389,25.6,31.0,1.55,0.0,1.55,3
717,0.85,81.0,0.06,0.0,0.06,4
884,0.0,100.0,0.0,0.0,0.0,4
446,7.6,14.0,71.73,3.4,10.32,2
277,1.81,0.2,74.97,6.7,66.47,5
65,4.24,0.2,13.39,1.3,0.0,0
269,8.4,4.4,48.5,4.0,8.14,2
271,8.8,3.5,50.1,3.2,3.17,2
239,2.8,0.6,62.5,5.1,38.8,5
354,13.0,3.4,80.0,2.7,0.55,2
21,0.0,0.0,0.93,0.0,0.4,0
213,8.06,14.0,14.06,0.3,0.2,0
884,0.0,100.0,0.0,0.0,0.0,4
884,0.0,100.0,0.0,0.0,0.0,4
286,4.9,0.4,74.0,0.0,0.0,2
11,0.0,0.0,2.1,2.1,0.0,0
338,8.2,3.1,69.39,1.7,0.25,2
120,4.4,1.9,21.3,2.8,0.87,0
122,1.3,0.4,31.89,2.3,15.0,0
36,2.97,0.8,6.33,3.3,0.85,0
354,12.48,2.3,73.48,17.3,0.8,1
387,31.8,27.0,3.63,0.0,0.73,3
315,6.84,7.4,55.35,0.0,49.74,5
23,1.43,0.3,4.48,0.9,0.6,0
83,3.08,0.2,18.58,4.5,0.1,0
195,19.91,11.0,7.62,0.0,0.0,3
158,18.01,18.0,4.05,0.3,0.47,3
119,3.51,1.0,23.67,1.3,0.13,0
23,2.36,0.9,4.89,3.2,0.41,0
83,0.44,1.1,19.96,5.3,0.0,0
357,14.73,1.1,74.9,6.2,2.5,2
99,5.33,0.3,20.23,0.0,0.0,0
73,16.4,0.3,0.0,0.0,0.0,3
95,1.72,0.6,23.25,1.5,19.08,0
277,3.8,1.2,70.7,4.6,66.1,5
37,1.08,0.2,8.62,2.3,4.46,0
21,2.0,0.4,3.6,0.0,0.0,0
274,3.3,11.0,41.1,2.2,25.75,2
884,0.0,100.0,0.0,0.0,0.0,4
75,1.57,0.7,17.71,3.0,12.87,0
340,24.41,26.0,1.88,0.0,0.0,3
20,2.2,0.1,3.88,2.1,1.88,0
48,1.4,0.4,11.12,2.0,9.24,0
34,2.82,0.4,6.64,2.6,1.7,0
371,23.24,30.0,2.79,0.0,0.51,3
380,0.12,0.0,98.09,0.0,97.02,5
322,0.34,0.1,82.74,1.6,80.68,5
299,10.91,26.0,4.29,0.0,2.05,3
379,14.6,35.0,1.29,0.0,1.29,3
579,21.15,50.0,21.55,12.5,4.35,4
72,2.5,0.1,16.8,3.2,7.87,0
376,12.76,0.6,77.43,5.0,0.0,2
394,0.0,0.2,98.0,0.0,62.9,5
311,41.71,3.0,34.71,17.5,0.0,1
260,0.04,0.1,67.04,0.0,60.46,5
329,10.62,3.5,72.09,6.7,2.53,2
884,0.0,100.0,0.0,0.0,0.0,4
298,4.82,0.4,81.03,0.0,0.0,2
20,2.03,0.4,3.39,0.0,0.0,0
16,0.68,0.1,3.4,1.6,1.86,0
277,8.6,4.3,50.2,3.2,0.31,2
250,10.2,1.5,48.89,4.1,6.12,2
144,0.91,8.6,15.65,2.0,13.54,0
75,1.2,0.3,17.99,4.9,4.8,0
354,0.1,0.2,90.9,0.0,84.87,5
32,3.02,0.6,5.42,4.0,0.46,0
416,10.0,5.0,82.64,0.0,0.0,2
394,23.76,32.0,2.57,0.0,0.52,3
350,6.15,34.0,5.52,0.0,3.76,3
247,15.3,20.0,0.73,0.0,0.0,3
42,1.5,0.3,9.2,1.8,1.6,0
71,1.88,0.9,15.9,6.5,9.36,0
246,17.3,7.0,66.22,15.4,1.45,1
127,5.5,0.9,26.44,3.9,0.0,0
408,10.42,21.0,44.83,2.1,2.08,2
266,12.5,3.1,47.07,6.3,9.38,2
27,1.7,0.1,6.2,3.6,2.6,0
393,26.96,31.0,1.44,0.0,0.0,3
356,24.94,27.0,2.22,0.0,2.22,3
302,12.91,0.4,74.68,16.5,43.9,1
