category,serving_size,calories,protein,total_fat,carbohydrate,fiber,sugars
Fruits,100.0,83,1.67,1.2,18.7,4.0,13.67
Fruits,100.0,42,0.5,0.2,10.65,3.6,7.05
Miscellaneous Ingredients,100.0,430,5.6,13.0,73.8,1.0,17.6
Snacks,100.0,348,3.7,7.3,70.9,4.6,46.36
Condiments,100.0,305,12.38,25.0,5.89,2.5,1.65
Red Meat,100.0,223,15.27,16.0,3.73,0.2,0.71
Vegetables,100.0,19,1.8,0.2,3.74,1.6,1.1
Poultry,100.0,133,16.37,4.3,6.32,0.0,0.0
Snacks,100.0,350,4.32,22.0,34.91,3.2,2.17
Red Meat,100.0,255,20.28,18.0,8.09,2.8,0.0
Red Meat,100.0,290,10.26,26.0,4.17,0.0,0.0
Grains,100.0,363,7.23,2.8,76.48,4.6,0.66
Fruits,100.0,70,3.75,0.9,14.89,8.0,0.0
Sauce,100.0,19,0.04,0.0,0.27,0.0,0.0
Sauce,100.0,88,0.49,0.0,17.03,0.0,14.95
Red Meat,100.0,141,18.4,4.8,4.9,0.0,0.0
Grains,100.0,349,10.88,1.5,75.43,11.8,1.1
Condiments,100.0,183,0.97,15.0,10.88,1.3,8.16
Grains,100.0,248,8.8,3.4,47.8,4.0,9.68
Fruits,100.0,254,7.4,8.7,37.1,2.5,0.0
Fruits,100.0,368,0.0,0.0,91.96,2.5,78.57
Fruits,100.0,28,0.38,0.2,6.84,0.0,0.0
Sauce,100.0,47,0.0,1.6,6.25,0.0,6.25
Grains,100.0,361,10.28,1.8,78.3,7.1,0.8
Miscellaneous Ingredients,100.0,364,5.95,0.6,80.18,1.6,0.12
Seafood,100.0,902,0.0,100.0,0.0,0.0,0.0
Seafood,100.0,902,0.0,100.0,0.0,0.0,0.0
Vegetables,100.0,116,0.79,0.2,31.15,2.3,14.0
Legumes and seeds,100.0,72,1.53,0.2,17.34,3.3,2.9
Legumes and seeds,100.0,3,0.11,0.1,0.38,0.0,0.0
Poultry,100.0,117,21.81,2.7,0.0,0.0,0.0
Dairy,100.0,74,2.46,1.6,12.3,0.0,9.84
Sauce,100.0,367,10.74,9.6,59.38,2.0,0.0
